event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,107,107,95182,106597,95182,5,1000,0,0,13
2,88,195,76534,81973,24756,5,1005,0,0,2
3,66,257,1463845,1467973,46178,0,1010,3,4,4
4,80,337,239273,248226,12415,8,1008,0,0,9
5,60,393,2963497,2975232,30320,6,1009,2,4,14
6,42,427,4525468,4529605,127752,1,1015,3,8,10
7,55,482,536446,542672,55288,4,1019,1,0,2
8,60,542,1579472,1601549,48559,18,1023,1,0,1
9,82,620,2175568,2185900,107906,31,1023,2,4,7
10,56,672,1214871,1223731,94523,9,1026,2,4,3
11,53,725,1715971,1735215,120112,50,1028,1,0,8
12,72,797,1415028,1429055,117992,2,1032,1,0,8
13,54,851,1968491,1985281,119162,5,1035,1,0,0
14,76,927,905056,916115,83290,0,1035,1,0,1
15,47,974,3170980,3188790,90327,20,1035,1,0,2
16,70,1040,1704372,1719355,98101,26,1035,2,4,2
17,63,1103,992315,1005445,88779,17,1041,1,0,0
18,77,1180,77392,79598,39852,17,1042,0,0,7
